element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Ti,1,5123.386,5q,,,3.1708845,5.5908475,3d2.(1D).4s.4p.(3P*),3P*,0,3d2.4s.(2D).5s,3D,1,,,L10989
Fe,1,5123.400,20,,,3.54652001,5.96648265,3d7.(2D2).4s,a 1D,2,3d6.(3G).4s.4p.(3P*),v 5F*,3,,,L11631
Fe,2,5123.454,3.6,,,13.4569502,15.8768834,3d6.(3G).4d,4G,7/2,3d6.(3G<3>).4f,2[5]*,9/2,,,L18349c139
Ti,1,5123.509,35,,,2.2363294,4.6562338,3d3.(2H).4s,a 3H,4,3d3.(2G).4p,v 3G*,3,,,L10989
Cr,1,5123.543,30,,,1.03000806,3.44990008,3d4.4s2,a 5D,4,3d4.(5D).4s.4p.(3P*),z 7D*,5,,,L9190
C,2,5123.58,10Hql*,1.22e+07,B,20.844740,23.264628,2s2.4d,2D,3/2,2s2.7f,2F*,5/2,,T7476,L1176
C,2,5123.58,10Hql*,1.30e+07,B,20.844765,23.264631,2s2.4d,2D,5/2,2s2.7f,2F*,7/2,,T7476,L1176
C,2,5123.58,10Hql*,8.2e+05,C,20.844765,23.264628,2s2.4d,2D,5/2,2s2.7f,2F*,5/2,,T10276,L1176
Ne,1,5123.6838,1500,1.96e+06,C+,18.69335943,21.11318538,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,,T6976,L3451
Ne,1,5123.7886,1500,6.30e+05,C+,18.69335943,21.11313791,2s2.2p5.(2P*<1/2>).3p,2[3/2],1,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,,T6976,L4498
Ar,2,5124.02,0.5*,,,22.683065435,25.102730005,3s2.3p4.(3P).5s,4P,1/2,3s2.3p4.(3P).6p,4D*,3/2,,,L14821
Ar,2,5124.02,0.5*,,,22.81135843,25.231017595,3s2.3p4.(3P).4d,4D,3/2,3s2.3p4.(3P).6p,2D*,5/2,,,L14821
Cr,1,5124.197,18,,,3.36779583,5.7873809,3d5.(4P).4s,b 3P,0,3d4.(3G).4s.4p.(3P*),w 5F*,1,,,L808
Ar,2,5124.399,2,,,23.87401512,26.29349829,3s2.3p4.(3P).4d,2D,5/2,3s2.3p4.(3P<0>).6f,2[3]*,7/2,,,L14821
Fe,3,5124.407,30,1.1e+05,D,13.133553,15.553039,3d5.(b 2D).4s,3D,3,3d5.(4D).4p,3F*,4,,T6105,L1171
Fe,2,5124.5719,8,,,12.8846409,15.3040466,3d6.(3H).4d,4G,7/2,3d6.(3H<4>).4f,2[5]*,9/2,,,L18349c139
Fe,2,5124.6197,600bl(Fe II)*,1.5e+05,D,7.7025932,10.1219773,3d6.(3P2).4p,z 2D*,3/2,3d5.4s2,2F2,5/2,,T6892c83,L18349c148
Fe,2,5124.6197,600bl(Fe II)*,2.5e+05,D,10.4309920,12.8503740,3d6.(5D).4d,6D,1/2,3d6.(5D<2>).4f,2[2]*,3/2,,T6892c83,L18349c148
Fe,2,5124.6197,600bl(Fe II)*,,,12.8846409,15.3040200,3d6.(3H).4d,4G,7/2,3d6.(3H<4>).4f,2[4]*,7/2,,,L18349c148
Fe,1,5124.708,89,,,4.41527878,6.83462125,3d7.(4F).4p,z 5G*,3,3d7.(4F).4d,f 3F,3,,,L11631
Mn,2,5124.75,10,,,5.992538,8.4118617,3d5.(2H).4s,b 3H,5,3d5.(4G).4p,z 3H*,5,,,L562
Fe,2,5124.8603,22,,,12.8579705,15.2772402,3d6.(3H).4d,4K,15/2,3d6.(3H<5>).4f,2[8]*,17/2,,,L18349c139
Cr,1,5124.8879,88,4.0e+04,D,1.03000806,3.44926489,3d4.4s2,a 5D,4,3d4.(5D).4s.4p.(3P*),y 7P*,3,,T4288,L14866
Fe,1,5125.1473,15100,7.24e+04,A,1.01105568,3.43018998,3d7.(4F).4s,a 5F,1,3d6.(5D).4s.4p.(3P*),z 5F*,1,,T3548,L11631
Ti,1,5125.500,30,,,1.5024892,3.9214575,3d2.4s2,a 1G,4,3d3.(4F).4p,w 3G*,5,,,L10989
Fe,3,5125.585,56,1.30e+07,C,22.218923,24.637856,3d5.(4G).4d,5H,5,3d5.(4G).5p,5H*,4,,u44,L1171
Sc,1,5125.816,3,,,2.1393568,4.558179,3d2.(3P).4s,4P,3/2,3d2.(3P).4p,4D*,1/2,,,L4189c12
Fe,3,5125.83,21h,2.1e+06,D+,22.271397,24.690205,3d5.(4G).4d,5F,4,3d5.(4G).5p,5F*,5,,u44,L1171
Fe,1,5126.0474,195,,,3.30140276,5.72011266,3d7.(2H).4s,b 3H,4,3d6.(3H).4s.4p.(3P*),z 3I*,5,,,L11631
Fe,1,5126.5449,8300,,,4.22036211,6.63883718,3d7.(4F).4p,y 5F*,4,3d7.(4F).4d,h 5D,3,,,L11631
C,2,5126.628,17,3.21e+06,B,20.149652,22.568086,2s2.4p,2P*,1/2,2s.2p.(3P*).3p,2P,1/2,,T5109LS,L1176
Fe,3,5127.040,210,3.3e+07,C+,22.287164,24.705408,3d5.(4G).4d,5G,4,3d5.(4G).5p,5F*,3,,u44,L1171
Ar,2,5127.1945,17,,,21.42814610,23.84631466,3s2.3p4.(1D).3d,2D,3/2,3s2.3p4.(1S).4p,2P*,1/2,,,L11520
B,2,5127.22,28*,,,21.582342,24.00050,1s2.2s.4d,3D,1,1s2.2s.7f,3F*,"2,3,4",,,L12120
B,2,5127.22,28*,,,21.582342,24.00050,1s2.2s.4d,3D,2,1s2.2s.7f,3F*,"2,3,4",,,L12120
B,2,5127.22,28*,,,21.582342,24.00050,1s2.2s.4d,3D,3,1s2.2s.7f,3F*,"2,3,4",,,L12120
Fe,1,5127.262,200,,,4.14264893,6.56078442,3d8,c 3F,3,3d7.(2D2).4p,v 3P*,2,,,L11631
S,2,5127.558,13,1.8e+07,E,16.245507,18.663504,3s2.3p2.(3P).4p,4S*,3/2,3s2.3p2.(3P).5s,4P,3/2,,"T1619CA,LS",L5883
Cr,1,5127.596,10,,,3.36940787,5.7873809,3d5.(4P).4s,b 3P,1,3d4.(3G).4s.4p.(3P*),w 5F*,1,,,L808
Fe,2,5127.6210,3100bl(Fe I),,,3.19725263,5.61522263,3d6.(3P2).4s,b 2P,3/2,3d6.(5D).4p,z 4F*,3/2,,,L18349c148
Fe,1,5127.621,1290bl,3.2e+06,E,4.25622280,6.67419029,3d7.(4F).4p,y 5F*,3,3d7.(4F).4d,g 5F,3,,T2578n,L11631
Cr,1,5127.928,15,,,3.36940787,5.78723069,3d5.(4P).4s,b 3P,1,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L9190
Fe,2,5128.256,4,,,12.8635679,15.2812358,3d6.(3H).4d,4H,11/2,3d6.(3H<5>).4f,2[6]*,11/2,,,L18349c139
C,2,5128.359,10,1.60e+06,B,20.150477,22.568086,2s2.4p,2P*,3/2,2s.2p.(3P*).3p,2P,1/2,,T5109LS,L1176
Ti,1,5128.490,21,,,2.6766322,5.0941889,3d2.(3F).4s.4p.(3P*),z 3G*,4,3d2.4s.(2F).5s,e 1F,3,,,L10989
Fe,2,5128.7354,19,,,12.8635679,15.2810098,3d6.(3H).4d,4H,11/2,3d6.(3H<5>).4f,2[6]*,13/2,,,L18349c139
Ti,3,5128.78,4bl,,,15.923712,18.341165,3p6.3d.4d,3D,1,3p6.3d.5p,3F*,2,,,L3593
Fe,3,5128.781,170,2.0e+05,D,8.658703,11.076113,3d5.(4D).4s,5D,3,3d5.(6S).4p,5P*,2,,T6105,L1171
Fe,1,5128.7877,13500,1.14e+04,A,0.91460217,3.33201954,3d7.(4F).4s,a 5F,4,3d6.(5D).4s.4p.(3P*),z 5F*,5,,T3548,L11631
Ti,1,5128.798,55,,,2.2555912,4.6730050,3d3.(2H).4s,a 3H,6,3d3.(2G).4p,v 3G*,5,,,L10989
Fe,3,5129.067,59,,,8.658827,11.076113,3d5.(4D).4s,5D,2,3d5.(6S).4p,5P*,2,,,L1171
Fe,1,5129.1080,191,3.80e+01,A,0.05156912,2.46883473,3d6.4s2,a 5D,3,3d6.(5D).4s.4p.(3P*),z 7D*,2,,T3547,L11631
Ti,3,5129.49,0,,,22.619238,25.03646,3p6.3d.(2D<5/2>).5g,2[11/2],5,3p6.3d.(2D<5/2>).7h,2[13/2]*,6,,,L3593
Ne,1,5129.709,20,,,18.72638145,21.14336221,2s2.2p5.(2P*<1/2>).3p,2[1/2],1,2s2.2p5.(2P*<3/2>).7s,2[3/2]*,2,,,L3469
Fe,2,5129.8914,7,,,13.4619063,15.8788027,3d6.(3G).4d,4H,9/2,3d6.(3G<3>).4f,2[5]*,11/2,,,L18349c139
V,1,5129.938,450000,2.42e+07,B+,2.28602611,4.70290166,3d3.(4F).4s.4p.(3P*),z 6D*,9/2,3d3.4s.(5F).5s,e 6F,11/2,,T9399,L15916
Fe,2,5130.182,120,3.2e+06,D+,10.3476866,12.7644423,3d6.(5D).4d,e 6F,3/2,3d6.(5D<4>).4f,2[3]*,5/2,,T6892c83,L18349c145
Ar,2,5130.512,2,,,23.570177223,25.98677781,3s2.3p4.(3P).5p,4D*,3/2,3s2.3p4.(3P).6d,2P,3/2,,,L14821
Ti,2,5130.5854,180,1.46e+06,B+,1.89169544,4.30826569,3d2.(1G).4s,b 2G,9/2,3d2.(3F).4p,z 2G*,9/2,,T7385,u37
Cr,1,5131.004,4,,,0.96841324,3.38478638,3d4.4s2,a 5D,1,3d4.(5D).4s.4p.(3P*),z 7D*,1,,,L14866
Fe,1,5131.0598,417,5.5e+05,E,3.94332623,6.35967275,3d6.(5D).4s.4p.(3P*),z 3F*,3,3d6.(5D).4s (4D).5s,e 3D,3,,T2578n,L11631
Fe,2,5131.4383,220,,,7.7058106,10.1219773,3d6.(3F2).4p,y 4F*,5/2,3d5.4s2,2F2,5/2,,,L18349c139
Fe,2,5131.5990,60bl(Fe II)*,,,13.4383911,15.8544846,3d6.(3G).4d,4H,11/2,3d6.(3G<4>).4f,2[6]*,13/2,,,L18349c148
Fe,2,5131.5990,60bl(Fe II)*,,,11.579555,13.9956459,3d6.(3F1).4p,u 4F*,5/2,3d5.(6S).4p2,6P,5/2,,,L18349c148
Sc,1,5131.752,3,,,2.1458031,4.5618306,3d2.(3P).4s,4P,5/2,3d2.(3P).4p,4D*,3/2,,,L4189c12
V,1,5131.947,9700,,,2.61626360,5.0321908,3d4.(3G).4s,2G,7/2,3d4.(3G).4p,2F*,7/2,,,L15916
Fe,2,5132.041,31,,,11.0505342,13.4664169,3d5.(4P).4s.4p.(3P*),6P*,7/2,3d6.(3G).4d,4G,5/2,,,L18349c139
Ti,3,5132.10,2,,,22.573492,24.98945,3p6.3d.(2D<3/2>).5g,2[7/2],3,3p6.3d.(2D<3/2>).7h,2[9/2]*,4,,,L3593
Ti,3,5132.10,2,,,22.573663,24.98945,3p6.3d.(2D<3/2>).5g,2[7/2],4,3p6.3d.(2D<3/2>).7h,2[9/2]*,4,,,L3593
V,4,5132.21,50,1.2e+08,D,29.35535,31.77116,3p6.3d.5s,3D,3,3p6.3d.5p,3F*,4,,T2757,L147
Ar,2,5132.536,1,,,23.404027598,25.81968425,3s2.3p4.(3P).5p,4P*,5/2,3s2.3p4.(3P).7s,2P,3/2,,,L14821
Fe,1,5132.8981,1380,2.58e+05,D+,2.22271209,4.63819369,3d7.(4P).4s,a 5P,1,3d6.(5D).4s.4p.(1P*),y 5P*,1,,T5720,L11631
Sc,1,5133.004,1,,,,,,,,,,,,,L4189c12
Fe,2,5133.1349,7,,,13.4383911,15.8537609,3d6.(3G).4d,4H,11/2,3d6.(3G<4>).4f,2[5]*,11/2,,,L18349c139
Fe,3,5133.429,140,5.3e+06,D+,22.215336,24.630572,3d5.(4G).4d,5H,3,3d5.(4G).5p,5H*,3,,u44,L1171
Fe,2,5133.433,6,,,12.8660067,15.2812358,3d6.(3H).4d,4G,9/2,3d6.(3H<5>).4f,2[6]*,11/2,,,L18349c139
Ar,2,5133.575,2,,,23.01454553,25.42970831,3s2.3p4.(3P).4d,4F,7/2,3s2.3p4.(3P<2>).5f,2[5]*,9/2,,,L14821
Fe,2,5133.968,2.7,,,13.4619063,15.8768834,3d6.(3G).4d,4H,9/2,3d6.(3G<3>).4f,2[5]*,9/2,,,L18349c139
Fe,2,5134.0763,26bl(Fe II)*,,,11.5466334,13.9615627,3d6.(3F1).4p,4D*,7/2,3d6.(5D).7s,6D,7/2,,,L18349c148
Fe,2,5134.0763,26bl(Fe II)*,,,13.4388341,15.8537609,3d6.(3G).4d,4G,9/2,3d6.(3G<4>).4f,2[5]*,11/2,,,L18349c148
Sc,1,5134.224,1,,,,,,,,,,,,,L4189c12
Ti,1,5134.359,44,,,2.2492302,4.6640244,3d3.(2H).4s,a 3H,5,3d3.(2G).4p,v 3G*,4,,,L10989
C,2,5134.370,130w*,3.70e+07,B+,20.701289,23.116074,2s.2p.(3P*).3s,4P*,1/2,2s.2p.(3P*).3p,4P,3/2,,T2440,L1176
C,2,5134.710,130w*,2.70e+07,B+,20.704213,23.118841,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,5/2,,T2440,L1176
Fe,1,5135.1185,20900,,,4.17769679,6.59213395,3d7.(4F).4p,y 5F*,5,3d7.(4F).4d,f 5G,6,,,L11631
Na,2,5135.18,100,,,,,,,,,,,,,L914
Fe,2,5136.802,2.9,,,12.8911060,15.3047457,3d6.(3H).4d,4K,11/2,3d6.(3H<4>).4f,2[6]*,11/2,,,L18349c139
Cr,1,5137.09,10,,,3.07899825,5.49248971,3d5.(4G).4s,a 3G,3,3d4.(3F1).4s.4p.(3P*),y 5G*,2,,,L808
Cr,1,5137.348,2,,,3.37521461,5.78860234,3d5.(4P).4s,b 3P,2,3d4.(3G).4s.4p.(3P*),w 5F*,3,,,L14866
Fe,3,5137.52,450l*,1.5e+07,C,22.217269,24.630572,3d5.(4G).4d,5H,4,3d5.(4G).5p,5H*,3,,u44,L1171
Fe,3,5137.52,450l*,3.07e+07,B,22.285965,24.699247,3d5.(4G).4d,5G,5,3d5.(4G).5p,5F*,4,,u44,L1171
Fe,1,5137.524,151,6.8e+05,E,4.18636440,6.59967157,3d8,c 3F,2,3d7.(2D2).4p,v 3P*,1,,T2578n,L11631
Ti,3,5138.09,2,,,22.623795,25.03705,3p6.3d.(2D<5/2>).5g,2[7/2],3,3p6.3d.(2D<5/2>).7h,2[9/2]*,4,,,L3593
Ti,3,5138.09,2,,,22.623940,25.03705,3p6.3d.(2D<5/2>).5g,2[7/2],4,3p6.3d.(2D<5/2>).7h,2[9/2]*,4,,,L3593
Ti,3,5138.09,2,,,22.623940,25.03705,3p6.3d.(2D<5/2>).5g,2[7/2],4,3p6.3d.(2D<5/2>).7h,2[9/2]*,5,,,L3593
Fe,2,5138.219,12,3.e+03,E,2.84411707,5.25709365,3d6.(3F2).4s,b 4F,5/2,3d6.(5D).4p,z 6F*,3/2,,T6892c83,L7357
Ne,2,5138.581,40,,,37.4367781,39.849588,2s2.2p4.(3P).4d,4D,3/2,2s2.2p4.(3P<2>).7f,2[3]*,5/2,,,L1406
C,2,5138.691,36,1.55e+07,B,20.701289,23.114048,2s.2p.(3P*).3s,4P*,1/2,2s.2p.(3P*).3p,4P,1/2,,T5109LS,L1176
Fe,1,5138.8131,6900,1.0e+07,D,4.17769679,6.59039805,3d7.(4F).4p,y 5F*,5,3d7.(4F).4d,h 5D,4,,T2491n,L11631
V,1,5139.030,16000,6.1e+05,C+,1.86948173,4.28207933,3d4.(3P2).4s,b 4P,1/2,3d3.(4F).4s.4p.(1P*),v 4D*,3/2,,T9399,L15916
Ca,3,5139.161,60,7.1e+07,B,42.247457,44.659996,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,,u33,L1405
Cr,1,5139.362,4,,,3.42162179,5.83406495,3d4.4s2,b 3G,3,3d5.(4G).4p,y 3G*,4,,,L14866
V,1,5139.838,450000,2.23e+07,B+,2.26919352,4.68141347,3d3.(4F).4s.4p.(3P*),z 6D*,7/2,3d3.4s.(5F).5s,e 6F,9/2,,T9399,L15916
Cr,1,5140.1382,13,,,0.98287742,3.39495688,3d4.4s2,a 5D,2,3d4.(5D).4s.4p.(3P*),z 7D*,2,,,L14866
Cr,1,5140.29,10w,,,3.37521461,5.78723069,3d5.(4P).4s,b 3P,2,3d4.(3G).4s.4p.(3P*),w 5F*,2,,,L808
Fe,2,5140.503,4,,,12.8911060,15.3030140,3d6.(3H).4d,4K,11/2,3d6.(3H<4>).4f,2[5]*,11/2,,,L18349c139
C,2,5140.602,60,1.24e+07,B,20.704213,23.116074,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,3/2,,T5109LS,L1176
Fe,1,5140.6829,22400,9.16e+06,B+,2.99804479,5.40986861,3d6.(5D).4s.4p.(3P*),z 7P*,3,3d6.(5D).4s (6D).5s,e 7D,2,,T5720,L11631
Fe,1,5140.8944,45700,8.69e+06,B+,2.93984587,5.35157038,3d6.(5D).4s.4p.(3P*),z 7P*,4,3d6.(5D).4s (6D).5s,e 7D,4,,T5720,L11631
V,1,5140.96,94000,,,2.61626360,5.0279587&dagger;,3d4.(3G).4s,2G,7/2,3d3.(2D2).4s.4p.(3P*),2D*,5/2,,,L3475
Cr,1,5141.0776,75,1.3e+07,D,3.42162179,5.83326016,3d4.4s2,b 3G,3,3d5.(4G).4p,y 3G*,3,,T1621n,L14866
Fe,2,5141.614,6,,,12.8926628,15.3040466,3d6.(3H).4d,4H,7/2,3d6.(3H<4>).4f,2[5]*,9/2,,,L18349c139
Fe,2,5141.681,4,,,12.8926628,15.3040200,3d6.(3H).4d,4H,7/2,3d6.(3H<4>).4f,2[4]*,7/2,,,L18349c139
Fe,2,5142.1224,260,8.e+06,D+,10.4134460,12.8245941,3d6.(5D).4d,6D,3/2,3d6.(5D<3>).4f,2[1]*,1/2,,T6892c83,L18349c139
Fe,2,5142.252,7,,,12.8923104,15.3033949,3d6.(3G).5s,e 2G,7/2,3d6.(3H<4>).4f,2[3]*,5/2,,,L18349c139
Fe,2,5142.8092,280,1.1e+07,D+,10.4672943,12.8781204,3d6.(5D).4d,6P,3/2,3d6.(5D<1>).4f,2[2]*,3/2,,T6892c83,L18349c139
Fe,5,5142.8,10bl(Cr IV),4.9e-01,C+,3.32802,5.73936,3d4,3F2,3,3d4,1D2,2,M1,T9277,L18418
Fe,2,5142.996,2.9,,,12.8926628,15.3033949,3d6.(3H).4d,4H,7/2,3d6.(3H<4>).4f,2[3]*,5/2,,,L18349c139
Fe,1,5143.1712,2820,4.86e+05,D,2.42419831,4.83485507,3d6.4s2,a 3P2,1,3d7.(4F).4p,y 3D*,1,,T5720,L11631
Ar,2,5143.21509,224,8.1e+06,A,18.732439371,21.143075448,3s2.3p4.(3P).3d,2D,5/2,3s2.3p4.(1D).4p,2F*,7/2,,T926,L11520
Cr,1,5143.695,4,,,2.70878630,5.11919762,3d5.(4P).4s,a 5P,2,3d4.(5D).4s.4p.(1P*),y 5D*,1,,,L14866
S,2,5143.774,18,1.25e+07,C,13.147810,15.558193,3s2.3p2.(3P).3d,2P,1/2,3s2.3p2.(3P).4p,2S*,1/2,,T3186c85,L5883
Fe,2,5143.783,9bl(Fe II)*,,,10.7578131,13.1681849,3d6.(3P1).4p,v 4D*,5/2,3d6.(3F2).4d,2F,5/2,,,L18349c148
Fe,2,5143.783,9bl(Fe II)*,,,12.8911060,15.3014770,3d6.(3H).4d,4K,11/2,3d6.(3H<4>).4f,2[7]*,13/2,,,L18349c148
Fe,1,5143.9265,1000,,,4.30127816,6.71158094,3d7.(4F).4p,y 5F*,1,3d7.(4F).4d,h 5D,1,,,L11631
Fe,1,5143.9736,3890,,,4.25622280,6.66650376,3d7.(4F).4p,y 5F*,3,3d7.(4F).4d,f 5G,4,,,L11631
Ne,3,5144.23,160,,,56.796602,59.206755,2s2.2p3.(2P*).3d,1D*,2,2s2.2p3.(2D*).4p,1D,2,,,L10704
Fe,1,5144.3610,15800,2.40e+04,D+,0.95815732,3.36825640,3d7.(4F).4s,a 5F,3,3d6.(5D).4s.4p.(3P*),z 5F*,4,,T5720,L11631
Na,2,5144.54,60,,,43.76268,46.17266,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,0,2s2.2p5.(2P*<3/2>).7f,2[3/2],1,,,L914
Ne,1,5144.698,50,,,18.70407118,21.11401428,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,,,L3469
C,2,5144.923,"130w,bl(Fe III)",7.55e+07,B+,20.704213,23.114048,2s.2p.(3P*).3s,4P*,3/2,2s.2p.(3P*).3p,4P,1/2,,T2440,L1176
Sc,3,5145.042,15*,,,19.846421,22.256201,3p6.5g,2G,7/2,3p6.7h,2H*,9/2,,,L2625
Sc,3,5145.042,15*,,,19.846421,22.256201,3p6.5g,2G,9/2,3p6.7h,2H*,9/2,,,L2625
Sc,3,5145.042,15*,,,19.846421,22.256201,3p6.5g,2G,9/2,3p6.7h,2H*,11/2,,,L2625
Fe,1,5145.1564,102,7.3e+03,E,2.19786640,4.60759327,3d7.(4P).4s,a 5P,2,3d7.(4F).4p,y 3F*,3,,T2578n,L11631
Fe,2,5145.3075,900,1.57e+07,B+,10.4477261,12.8573818,3d6.(5D).4d,6P,7/2,3d6.(5D<2>).4f,2[4]*,9/2,,T6892c83,L18349c139
Fe,2,5145.7847,2700,8.5e+07,B+,10.4672943,12.8767266,3d6.(5D).4d,6P,3/2,3d6.(5D<1>).4f,2[2]*,5/2,,T6892c83,L18349c139
Cr,1,5146.1007,13,,,2.70991379,5.11919762,3d5.(4P).4s,a 5P,1,3d4.(5D).4s.4p.(1P*),y 5D*,1,,,L14866
Fe,2,5146.178,31,8.e+05,D+,10.4477261,12.8569773,3d6.(5D).4d,6P,7/2,3d6.(5D<2>).4f,2[3]*,5/2,,T6892c83,L18349c139
Ne,1,5146.3717,5000,3.29e+06,C+,18.70407118,21.11322925,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3,,T6976,L3451
Ne,1,5146.444,5000,,,18.70407118,21.11318538,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,,,L3469
Fe,1,5146.5267,363,6.70e+04,D+,2.19786640,4.60695104,3d7.(4P).4s,a 5P,2,3d6.(5D).4s.4p.(1P*),y 5P*,2,,T5720,L11631
Ne,1,5146.5685,350,7.81e+05,C+,18.70407118,21.11313791,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,,T6976,L4498
C,2,5146.593,290,6.35e+07,B+,20.709791,23.118841,2s.2p.(3P*).3s,4P*,5/2,2s.2p.(3P*).3p,4P,5/2,,T2440,L1176
Ar,2,5146.74143,162,1.06e+07,B,17.140027439,19.549011775,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(3P).4p,4D*,5/2,,T926,L11520
Ti,1,5146.893,2000,9.60e+06,C+,1.46013860,3.8690518,3d3.(4F).4s,b 3F,4,3d2.(3P).4s.4p.(3P*),v 3D*,3,,T4922,L10989
Fe,2,5146.921,6,,,13.4478119,15.8567123,3d6.(3G).4d,4I,13/2,3d6.(3G<4>).4f,2[7]*,15/2,,,L18349c139
Ti,2,5147.1235,21,,,5.42316403,7.83196911,3d2.(1G).4p,y 2G*,7/2,3d2.(3F).5s,e 2F,5/2,,,u37
Fe,2,5147.1634,600,7.7e+07,C+,10.4134460,12.8222325,3d6.(5D).4d,6D,3/2,3d6.(5D<3>).4f,2[0]*,1/2,,T6892c83,L18349c139
Fe,2,5147.2556,800,4.5e+07,B+,10.4134460,12.8221898,3d6.(5D).4d,6D,3/2,3d6.(5D<3>).4f,2[1]*,3/2,,T6892c83,L18349c139
Fe,1,5147.740,151,2.7e+05,E,4.37135106,6.77986785,3d7.(4F).4p,z 5G*,4,3d7.(4F).4d,f 3F,4,,T2578n,L11631
V,4,5147.936,40,9.2e+07,D,29.30024,31.70866,3p6.3d.5s,3D,2,3p6.3d.5p,3F*,3,,T2757,L147
Sc,1,5148.503,3,,,2.1458031,4.5539532,3d2.(3P).4s,4P,5/2,3d2.(1D).4p,2F*,7/2,,,L4189c12
Ti,3,5148.74,14,5.6e+07,D,15.844011,18.252057,3p6.3d.4d,1F,3,3p6.3d.5p,1D*,2,,T1216,L3593
Ti,1,5148.911,2300,4.58e+05,B',0.00000000,2.4079690,3d2.4s2,a 3F,2,3d2.(3F).4s.4p.(3P*),z 3F*,3,,T8000,L10989
Fe,2,5149.4766,180bl(Fe I),,,12.8735344,15.2812358,3d6.(3H).4d,4K,13/2,3d6.(3H<5>).4f,2[6]*,11/2,,,L18349c148
Fe,1,5149.4767,2040,,,4.28330826,6.69101333,3d7.(4F).4p,y 5F*,2,3d7.(4F).4d,h 5D,2,,,L11631
Fe,1,5149.6630,3470,,,4.25622280,6.66384071,3d7.(4F).4p,y 5F*,3,3d7.(4F).4d,f 3D,3,,,L11631
V,1,5149.847,18000,1.20e+06,C+,2.29536943,4.70290166,3d3.(4F).4s.4p.(3P*),z 6F*,9/2,3d3.4s.(5F).5s,e 6F,11/2,,T9399,L15916
Fe,2,5149.9676,16,,,12.8735344,15.2810098,3d6.(3H).4d,4K,13/2,3d6.(3H<5>).4f,2[6]*,13/2,,,L18349c139
Fe,2,5150.118,4,,,12.8635679,15.2709730,3d6.(3H).4d,4H,11/2,3d6.(3H<5>).4f,2[7]*,13/2,,,L18349c139
V,1,5150.134,290000,1.6e+07,C+,2.25627573,4.66367269,3d3.(4F).4s.4p.(3P*),z 6D*,5/2,3d3.4s.(5F).5s,e 6F,7/2,,T9399,L15916
Na,1,5150.2725,1,1.14e+06,B+,2.102297177,4.50962989,2p6.3p,2P*,1/2,2p6.6s,2S,1/2,,c30,L15039
Fe,2,5150.3331,400,1.61e+07,C+,10.4134460,12.8207506,3d6.(5D).4d,6D,3/2,3d6.(5D<3>).4f,2[2]*,5/2,,T6892c83,L18349c139
Fe,2,5150.6640,26,,,12.8448160,15.2519656,3d6.(3H).4d,4G,11/2,3d6.(3H<6>).4f,2[6]*,13/2,,,L18349c139
Fe,3,5150.81,450bl(Fe II),2.86e+07,B,22.283121,24.690205,3d5.(4G).4d,5G,6,3d5.(4G).5p,5F*,5,,u44,L1171
Fe,2,5150.8969,4000,9.0e+07,B+,10.4477261,12.8547671,3d6.(5D).4d,6P,7/2,3d6.(5D<2>).4f,2[5]*,9/2,,T6892c83,L18349c139
Cr,1,5150.916,2,,,3.12159404,5.52862611,3d4.4s2,a 3F,4,3d4.(3F1).4s.4p.(3P*),y 5G*,5,,,L14866
Ne,1,5151.5189,350,,,18.63679156,21.04354431,2s2.2p5.(2P*<3/2>).3p,2[3/2],2,2s2.2p5.(2P*<1/2>).6s,2[1/2]*,1,,,L4498
Fe,2,5151.6314,32bl(Fe I),,,12.8973225,15.3040200,3d6.(5D).5d,4F,5/2,3d6.(3H<4>).4f,2[4]*,7/2,,,L18349c139
Fe,1,5151.6315,331,,,3.57321890,5.97991659,3d7.(2H).4s,a 1H,5,3d6.(3G).4s.4p.(3P*),y 5H*,5,,,L11631
Fe,2,5151.691,0.9,,,13.4478119,15.8544846,3d6.(3G).4d,4I,13/2,3d6.(3G<4>).4f,2[6]*,13/2,,,L18349c139
Fe,2,5151.9159,1000,2.63e+07,B+,10.4477261,12.8542909,3d6.(5D).4d,6P,7/2,3d6.(5D<2>).4f,2[3]*,7/2,,T6892c83,L18349c139
