element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Ar,2,3571.766,1,,,21.492402391,24.96363470,3s2.3p4.(1D).4p,2D*,3/2,3s2.3p4.(3P).5d,4P,3/2,,,L14821
Cr,1,3572.01,1,,,4.2073736,7.678348,3d4.4s2,c 3D,3,3d5.(4F).4p,q 3G*,3,,,L808
Mn,2,3572.03,2,,,10.7818050,14.252776,3d4.(5D).4s.4p.(3P*),w 5P*,1,3d5.(6S).7d,5D,1,,,L562
V,1,3572.0537,180000,,,2.13774423,5.6086941,3d4.(3G).4s,a 4G,11/2,3d3.(4F).4s.5p,q 4F*,9/2,,,L15916
Cr,1,3572.15,2,,,4.2074798,7.678348,3d4.4s2,c 3D,2,3d5.(4F).4p,q 3G*,3,,,L808
Ti,1,3572.202,8,,,1.9807258,5.45154131,3d2.(3F).4s.4p.(3P*),z 5G*,3,3d3.(4F).4d,5F,3,,,L10989
V,1,3572.2238,58000,,,2.13030555,5.6010893,3d4.(3G).4s,a 4G,9/2,45175o,r 2G*,7/2,,,L4235
Fe,1,3572.2451,1700,2.3e+05,E,1.48486439,4.95563019,3d7.(4F).4s,a 3F,4,3d6.(5D).4s.4p.(1P*),x 5D*,3,,T2578n,L11631
Ne,2,3572.25079,200,6.3e+07,D,31.36223939,34.83299812,2s2.2p4.(3P).3p,4S*,3/2,2s2.2p4.(3P).3d,4F,3/2,,T380,L5951
Mn,2,3572.61,3,,,10.7818050,14.252212,3d4.(5D).4s.4p.(3P*),w 5P*,1,3d5.(6S).7d,5D,2,,,L562
V,1,3572.6702,290000,,,2.12223095,5.5925818,3d4.(3G).4s,a 4G,7/2,3d3.(4F).4s.5p,q 4F*,5/2,,,L15916
Cr,2,3572.8977,23,,,10.88073694,14.35086560,3d4.(5D).4d,e 6F,5/2,3d4.(5D<4>).5f,2[2]*,3/2,,,L18847
Cr,1,3572.9947,4,,,3.08689206,6.5569273,3d5.(4G).4s,a 3G,4,3d4.(1G1).4s.4p.(3P*),x 3H*,5,,,L14866
Fe,1,3573.0149,20000,2.89e+07,B+,2.83252676,6.30254306,3d6.(5D).4s.4p.(3P*),z 7F*,5,3d6.(5D).4s (6D).4d,e 7F,5,,T5720,L11631
Ne,2,3573.041,100,,,34.83826076,38.3082452,2s2.2p4.(3P).3d,4P,3/2,2s2.2p4.(3P).5p,2P*,1/2,,,L1406
V,2,3573.066,240h,,,6.6861207,10.1560824,3d3.(2D2).4p,w 3D*,3,3d3.(4P).5s,3P,2,,,L10089c179
V,1,3573.3364,9800,,,1.08061491,4.5503153,3d4.(5D).4s,a 4D,7/2,3d3.(4P).4s.4p.(3P*),x 2D*,5/2,,,L4235
Fe,3,3573.34,19,,,15.318635,18.788326,3d5.(4D).4p,5P*,1,3d5.(6S).4d,5D,0,,,L1171
V,2,3573.386,230h*,,,5.90261759,9.3722733,3d3.(2G).4p,z 3H*,6,3d3.(4F).4d,3H,6,,,L10089c179
V,2,3573.386,230h*,,,6.6643477,10.1339900,3d3.(2D2).4p,w 3D*,1,3d3.(4P).5s,3P,1,,,L10089c179
Ne,2,3573.396,80,,,34.63187052,38.1015169,2s2.2p4.(3P).3d,4D,3/2,2s2.2p4.(3P).5p,4P*,1/2,,,L1406
Sc,2,3573.550,13g,1.38e+08,B+,0.022039,3.491540,3p6.3d.4s,3D,3,3p6.3d.4p,3D*,3,,T5448,L5141
V,1,3573.559,51000,,,1.93068628,5.40017280,3d4.(3P2).4s,b 4P,5/2,3d4.(5D).5p,q 4D*,7/2,,,L15916
Fe,1,3573.6103,1550,3.31e+06,C,2.85122419,6.32066224,3d6.(5D).4s.4p.(3P*),z 7F*,4,3d6.(5D).4s (6D).4d,e 5G,4,,T5720,L11631
Cr,1,3573.7605,11,,,2.70791527,6.17720772,3d5.(4P).4s,a 5P,3,3d4.(3P1).4s.4p.(3P*),y 5S*,2,,,L14866
Fe,1,3574.4136,2750,1.05e+07,D+,3.30092244,6.76958063,3d7.(2D2).4s,a 3D,2,3d6.(3G).4s.4p.(3P*),t 3G*,3,,T5720,L11631
V,1,3574.5320,290000,,,2.13030555,5.5988495,3d4.(3G).4s,a 4G,9/2,3d3.(4F).4s.5p,q 4F*,7/2,,,L15916
V,2,3574.573,3200,9.e+06,D+,2.3721639,5.8406575,3d3.(2P).4s,b 3P,2,3d3.(4P).4p,z 3P*,1,,T9489n,L10089c179
Cr,1,3574.6578,30,,,2.70878630,6.17720772,3d5.(4P).4s,a 5P,2,3d4.(3P1).4s.4p.(3P*),y 5S*,2,,,L14866
Ti,2,3574.7518,194,4.21e+06,B+,0.57388034,4.04221051,3d2.(3F).4s,a 2F,5/2,3d2.(3F).4p,z 4D*,3/2,,T7385,u37
Fe,1,3574.8492,17000,2.41e+06,B,2.40407444,5.87231021,3d6.4s2,a 3H,6,3d6.(3G).4s.4p.(3P*),w 5G*,6,,T5720,L11631
Fe,1,3574.9088,13800,5.73e+07,B+,3.30140276,6.76958063,3d7.(2H).4s,b 3H,4,3d6.(3G).4s.4p.(3P*),t 3G*,3,,T5720,L11631
